medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,JKQ
"267321000006114","G677","G677.00","195231004","300394010","occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",""
"2692069010","B51","B51..00","428061005","2692069010","malignant neoplasm of brain",""
"271527011","7A2","7A2..00","175362007","271527011","carotid, cerebral and subclavian artery operations",""
"271537018","7A21","7A21.00","175362007","271527011","other open operations on carotid artery",""
"271543016","7A21y","7A21y00","175362007","271527011","other specified other open operation on carotid artery",""
"271544010","7A21z","7A21z00","175362007","271527011","other open operation on carotid artery nos",""
"271556011","7A230","7A23000","175385008","271556011","excision of aneurysm of cerebral artery",""
"271559016","7A234","7A23400","230899005","345929019","ligation of aneurysm of cerebral artery nec",""
"271560014","7A235","7A23500","230899005","345929019","ligation of aneurysm of circle of willis nec",""
"271561013","7A236","7A23600","450503001","2916628010","obliteration of aneurysm of cerebral artery",""
"271569010","7A240","7A24000","175395001","271569010","reconstruction of cerebral artery",""
"271571010","7A242","7A24200","175397009","271571010","anastomosis of cerebral artery",""
"271573013","7A244","7A24400","175399007","271573013","open embolectomy of cerebral artery",""
"271576017","7A246","7A24600","175401001","271576017","open embolisation of cerebral artery",""
"271585017","7A250","7A25000","175406006","271585017","percutaneous transluminal embolisation of cerebral artery",""
"271590019","7A252","7A25200","233317001","349597013","embolisation of cerebral artery nec",""
"271644017","7A27y","7A27y00","175362007","271527011","other specified other open operation on subclavian artery",""
"271645016","7A27z","7A27z00","175362007","271527011","other open operation on subclavian artery nos",""
"271679015","7A2z","7A2z.00","175362007","1489749016","carotid and/or cerebral and/or subclavian artery operations",""
"2725641000006119","^ESCTCE272564","","14247003","24230016","cerebral hemispherectomy",""
"2729551000000111","^ESCT1171762","","1089411000000104","2729551000000111","cerebral infarction due to occlusion of cerebral artery","1"
"2729571000000119","^ESCT1171763","","1089421000000105","2729571000000119","cerebral infarction due to stenosis of cerebral artery","1"
"2773351000006111","^ESCTMI277335","","17232002","29135015","middle cerebral artery",""
"286395017","A2703","A270300","186317009","286395017","listerial cerebral arteritis",""
"2870551000006114","^ESCTCO287055","","23238000","481563016","common variable agammaglobulinaemia",""
"2870571000006116","^ESCTCV287057","","23238000","39020014","cvag",""
"2870621000006118","^ESCTAC287062","","23238000","481564010","acquired hypogammaglobulinaemia",""
"2871165011","G729","G729.00","713035000","3287752016","dissection of precerebral artery",""
"287136015","A8400","A840000","186791009","287136015","plasmodium falciparum malaria with cerebral complications",""
"287283010","A94y6","A94y600","186893003","287283010","rupture of syphilitic cerebral aneurysm",""
"287694015","AB654","AB65400","187094001","287694015","cerebral cryptococcosis",""
"287703011","AB671","AB67100","187100003","287703011","rhinocerebral mucormycosis",""
"289338019","B5101","B510100","188282004","289338019","malignant neoplasm of cerebral cortex",""
"289353010","B5151","B515100","188293002","289353010","malignant neoplasm of floor of cerebral ventricle",""
"289354016","B515z","B515z00","363471001","482734019","malignant neoplasm of cerebral ventricle nos",""
"289355015","B5170","B517000","188295009","289355015","malignant neoplasm of cerebral peduncle",""
"289360016","B51y","B51y.00","428061005","2692069010","malignant neoplasm of other parts of brain",""
"289364013","B51yz","B51yz00","428061005","2692069010","malignant neoplasm of other part of brain nos",""
"289365014","B51z","B51z.00","428061005","2692069010","malignant neoplasm of brain nos",""
"289375012","B5210","B521000","188312005","289375012","malignant neoplasm of cerebral dura mater",""
"289376013","B5211","B521100","188313000","289376013","malignant neoplasm of cerebral arachnoid mater",""
"289378014","B5212","B521200","188315007","289378014","malignant neoplasm of cerebral pia mater",""
"2901571000006113","^ESCTCO290157","","25133001","42129011","completed stroke",""
"290621015","B7F20","B7F2000","189164002","290621015","cerebral meningioma",""
"293326016","C3271","C327100","190794006","293327013","gaucher disease",""
"294703019","E0304","E030400","191505005","294703019","acute confusional state, of cerebrovascular origin",""
"294711012","E0314","E031400","191512001","294711012","subacute confusional state, of cerebrovascular origin",""
"296988018","F101z","F101z00","192794001","296993015","cerebral lipidoses nos",""
"296992013","F102z","F102z00","192794001","296993015","cerebral degeneration in lipidosis nos",""
"296993015","F103","F103.00","192794001","296993015","cerebral degeneration in diseases ec",""
"296996011","F103z","F103z00","192794001","296993015","cerebral degeneration in disease nos",""
"297022013","F11xz","F11xz00","192794001","296993015","cerebral degeneration other disease nos",""
"297381012","F28y1","F28y100","41075004","68528011","cerebral fungus",""
"299342019","Fyu56","Fyu5600","230698000","345651012","lacunar infarction","1"
"300310019","G633","G633.00","195183002","300310019","multiple and bilateral precerebral arterial occlusion",""
"300311015","G63y","G63y.00","266253001","395777014","other precerebral artery occlusion",""
"300312010","G63y0","G63y000","195185009","300312010","cerebral infarct due to thrombosis of precerebral arteries","1"
"300313017","G63y1","G63y100","195186005","300313017","cerebral infarction due to embolism of precerebral arteries","1"
"300314011","G63z","G63z.00","266253001","395777014","precerebral artery occlusion nos",""
"300321011","G6400","G640000","195189003","300321011","cerebral infarction due to thrombosis of cerebral arteries","1"
"300322016","G6410","G641000","195190007","300322016","cerebral infarction due to embolism of cerebral arteries","1"
"300348012","G65y","G65y.00","266257000","395788015","other transient cerebral ischaemia","2"
"300349016","G65zz","G65zz00","266257000","395788015","transient cerebral ischaemia nos","2"
"300352012","G65z0","G65z000","195205001","300352012","impending cerebral ischaemia",""
"300353019","G65z1","G65z100","195206000","300353019","intermittent cerebral ischaemia",""
"300370010","G667","G667.00","195216008","300370010","left sided cva","1"
"300371014","G668","G668.00","195217004","300371014","right sided cva","1"
"300374018","G67","G67..00","62914000","104563015","other cerebrovascular disease","2"
"300379011","G671z","G671z00","302909007","444905019","generalised ischaemic cerebrovascular disease nos",""
"300380014","G6710","G671000","29322000","49074018","acute cerebrovascular insufficiency","1"
"300389010","G6730","G673000","713082007","3287780019","nonruptured cerebral aneurysm due to dissection of cerebral artery",""
"300395011","G6770","G677000","195232006","300395011","occlusion and stenosis of middle cerebral artery","1"
"300396012","G6771","G677100","195233001","300396012","occlusion and stenosis of anterior cerebral artery","1"
"300398013","G6772","G677200","195234007","300398013","occlusion and stenosis of posterior cerebral artery","1"
"300401011","G67y","G67y.00","62914000","104563015","other cerebrovascular disease os","1"
"300402016","G67z","G67z.00","62914000","104563015","other cerebrovascular disease nos","1"
"300403014","G68","G68..00","195239002","300403014","late effects of cerebrovascular disease",""
"300411016","G683","G683.00","195243003","300411016","sequelae of cerebral infarction",""
"300418010","G6y","G6y..00","62914000","104563015","other specified cerebrovascular disease","1"
"300419019","G6z","G6z..00","62914000","104563015","cerebrovascular disease nos","2"
"300941014","Gyu64","Gyu6400","432504007","2770034014","[x]other cerebral infarction","1"
"300942019","Gyu65","Gyu6500","266253001","395777014","[x]occlusion and stenosis of other precerebral arteries",""
"300943012","Gyu66","Gyu6600","20059004","33759015","cerebral artery occlusion",""
"300944018","Gyu67","Gyu6700","62914000","104563015","[x]other specified cerebrovascular diseases","2"
"300945017","Gyu68","Gyu6800","28366008","47484015","[x]cerebral arteritis in infectious and parasitic diseases",""
"30303010","F28y0","F28y000","17944005","30303010","cerebral calcification",""
"306621000000116","9N0p","9N0p.00","201501000000108","306621000000116","seen in stroke clinic","2"
"307879017","L4400","L440000","6594005","11941010","puerperal cerebrovascular disorder unspecified",""
"307880019","L4401","L440100","200330000","307880019","puerperal cerebrovascular disorder - delivered",""
"307884011","L440z","L440z00","6594005","11941010","puerperal cerebrovascular disorder nos",""
"30981000006112","S6300","S630000","450418003","2915288012","oth cerebral h'ge inj no open intracran wnd+unspec consc",""
"31393014","SN200-1","SN20011","52072009","86678016","siriasis",""
"314291000000112","1JA1","1JA1.00","205001000000100","314291000000112","suspected cerebrovascular disease",""
"3161611000006111","^ESCTFU316161","","41075004","197545014","fungal infection of brain",""
"3167661000006117","^ESCTRA316766","","41440006","197572018","radioisotope brain imaging",""
"3167671000006112","^ESCTCE316767","","41440006","69115017","cerebral scan",""
"3193191000006110","^ESCTNO319319","","42994005","71731017","nonruptured cerebral aneurysm",""
"3193201000006113","^ESCTUN319320","","42994005","1229953019","unruptured cerebral aneurysm",""
"319481000006117","7N430","7N43000","60176003","498669019","[so]anterior cerebral artery",""
"320602018","S610","S610.00","209834008","320602018","closed cerebral contusion",""
"320611018","S611","S611.00","209843004","320611018","open cerebral contusion",""
"320699015","S61z","S61z.00","269144002","402921014","cerebral laceration and contusion nos",""
"321061000006111","7N43","7N43.00","88556005","508092012","[so]cerebral artery",""
"321071000006116","7N43z","7N43z00","88556005","146829010","[so]cerebral artery nec",""
"325051016","SP101","SP10100","213209000","325051016","cerebral anoxia complication",""
"327301000006119","7N433","7N43300","17232002","478091018","structure of middle cerebral artery",""
"329591000006110","7N434","7N43400","70382005","501570013","[so]posterior cerebral artery",""
"3300291000006117","^ESCTCE330029","","49453006","82369018","cerebral herniation",""
"332911000006118","7N43y","7N43y00","88556005","146829010","[so]specified cerebral artery nec",""
"345639010","G63-1","G63..11","230692004","345639010","infarction - precerebral",""
"345650013","G64z-1","G64z.11","95457000","158113017","brainstem infarction nos","1"
"345655015","G665","G665.00","230699008","345655015","pure motor lacunar syndrome","1"
"345658018","G666","G666.00","230700009","345658018","pure sensory lacunar syndrome","1"
"3477271000006118","^ESCTST347727","","60176003","498669019","structure of anterior cerebral artery",""
"3477281000006115","^ESCTAN347728","","60176003","99962019","anterior cerebral artery",""
"349464010","7A27-3","7A27.13","175362007","271527011","other open operations on vertebral artery",""
"3505637014","^ESCT1170857","","329491000119109","3505637014","occlusion of left middle cerebral artery","1"
"3505639012","^ESCT1170856","","329481000119106","3505639012","occlusion of right middle cerebral artery","1"
"3505651014","^ESCT1170859","","329571000119107","3505651014","occlusion of left posterior cerebral artery","1"
"3505881015","^ESCT1164370","","734384004","3505881015","right middle cerebral artery thrombosis","1"
"3508952018","^ESCT1170889","","330791000119108","3508952018","cerebrovascular accident due to thrombus of left carotid artery","1"
"3508955016","^ESCT1170860","","329641000119104","3508955016","cerebrovascular accident due to thrombus of basilar artery","1"
"3508956015","^ESCT1170861","","329641000119104","3508956015","stroke due to basilar artery thrombus","1"
"3508958019","^ESCT1170862","","329651000119102","3508958019","cerebrovascular accident due to thrombus of right carotid artery","1"
"3508961018","^ESCT1172901","","16002031000119102","3508961018","cerebrovascular accident due to thrombus of right middle cerebral artery","1"
"3508962013","^ESCT1172902","","16002031000119102","3508962013","stroke due to thrombus of right middle cerebral artery","1"
"3508964014","^ESCT1172903","","16002111000119106","3508964014","cerebrovascular accident due to thrombus of left middle cerebral artery","1"
"3508965010","^ESCT1172904","","16002111000119106","3508965010","stroke due to thrombus of left middle cerebral artery","1"
"3509777019","^ESCT1172971","","16023991000119104","3509777019","cerebrovascular accident due to occlusion of left pontine artery","1"
"3509790014","^ESCT1172898","","16000391000119104","3509790014","cerebrovascular accident due to occlusion of right posterior cerebral artery","1"
"3509794017","^ESCT1172900","","16000511000119103","3509794017","cerebrovascular accident due to occlusion of left middle cerebral artery","1"
"3509799010","^ESCT1172897","","16000351000119109","3509799010","cerebrovascular accident due to occlusion of left posterior cerebral artery","1"
"3509810017","^ESCT1172899","","16000431000119109","3509810017","cerebrovascular accident due to occlusion of right middle cerebral artery","1"
"3509817019","^ESCT1170855","","329461000119102","3509817019","left hemispheric cerebellar artery embolism with stroke","1"
"3509863013","^ESCT1170871","","330091000119106","3509863013","non-ruptured acquired cerebral aneurysm",""
"3511955015","^ESCT1164369","","734384004","3511955015","thrombosis of right middle cerebral artery",""
"3511959014","^ESCT1164367","","734383005","3511959014","thrombosis of left middle cerebral artery","1"
"3512174014","^ESCT1164936","","734963004","3512174014","embolus of right posterior cerebral artery","1"
"3512176011","^ESCT1164937","","734964005","3512176011","embolus of left middle cerebral artery","1"
"3512178012","^ESCT1164938","","734965006","3512178012","embolus of right middle cerebral artery","1"
"3515794015","^ESCT1173136","","16218291000119100","3515794015","acute cerebral ischaemia","1"
"3516948016","^ESCT1166502","","736251000","3516948016","stroke care plan","2"
"3522691000006112","^ESCTCE352269","","62914000","104566011","cerebrovascular lesion",""
"3522701000006112","^ESCTCV352270","","62914000","499414018","cvd - cerebrovascular disease","1"
"356811012","F427K-1","F427K11","14210003","24174013","lipofuscinosis nec",""
"35791000006117","S631","S631.00","450418003","2915288012","other cerebral h'ge after injury + open intracranial wound",""
"35801000006116","S630","S630.00","450418003","2915288012","other cerebral h'ge after injury no open intracranial wound",""
"360778011","G6711","G671100","111298007","360778011","chronic cerebral ischaemia","2"
"3615001000006115","^ESCTCE361500","","68523003","113807010","cerebral white matter",""
"3636133016","^ESCT1170849","","329361000119107","3636133016","cerebrovascular accident due to occlusion of right middle cerebral artery by embolus","1"
"3636969013","^ESCT1169370","","762629007","3636969013","occlusion of right middle cerebral artery by embolus","1"
"364331000000116","70055","7005500","429510003","2692038011","multiple subpial transections of cerebral cortex",""
"3644591000006111","^ESCTST364459","","70382005","501570013","structure of posterior cerebral artery",""
"3644601000006115","^ESCTPO364460","","70382005","116915019","posterior cerebral artery",""
"3683671000006119","^ESCTLE368367","","72792008","502238014","left cerebral hemisphere structure",""
"3683681000006116","^ESCTLE368368","","72792008","120912012","left cerebral hemisphere",""
"370661000006114","Gyu6G","Gyu6G00","125081000119106","3042974014","[x]cereb infarct due unsp occlus/stenos precerebr arteries","1"
"370681000006116","Gyu69","Gyu6900","28366008","47484015","[x]cerebral arteritis in other diseases ce",""
"370701000006118","Gyu63","Gyu6300","20059004","33759015","[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","1"
"370711000006115","Gyu6","Gyu6.00","62914000","104563015","[x]cerebrovascular diseases","2"
"371641000000112","7P242","7P24200","231231000000107","371641000000112","delivery of rehabilitation for stroke",""
"378881000000114","70085","7008500","428740009","2694177012","insertion of carmustine wafers in cerebral neoplasm",""
"3818181000006114","^ESCTLA381818","","81037000","134436018","lacunar infarct","1"
"3882941000006118","^ESCTAP388294","","85028008","140974013","application of clamp to cerebral aneurysm, crutchfield or silverstone",""
"3882971000006114","^ESCTIN388297","","85028008","506343018","intracerebral aneurysm clipped",""
"3939231000006110","^ESCTCE393923","","88556005","146829010","cerebral artery",""
"394311013","7A24","7A24.00","175362007","271527011","other open operations on cerebral artery or circle of willis",""
"394314017","7A27","7A27.00","175362007","271527011","other open operations on subclavian artery",""
"395777014","G63","G63..00","266253001","395777014","precerebral arterial occlusion",""
"395780010","G64z","G64z.00","432504007","2770034014","cerebral infarction","1"
"395783012","G65-2","G65..12","266257000","395783012","transient ischaemic attack","2"
"395788015","G65","G65..00","266257000","395788015","transient cerebral ischaemia","1"
"39711000006113","S631z","S631z00","450418003","2915288012","oth cereb h'ge inj + open intracran wnd+concussion unspec",""
"39731000006119","S6304","S630400","450418003","2915288012","oth cereb h'ge inj no open intracran wnd+>24hr loc +recovery",""
"39751000006114","S630z","S630z00","450418003","2915288012","oth cereb h'ge inj no open intracran wnd+concussion unspec",""
"39761000006111","S6306","S630600","450418003","2915288012","oth cereb h'ge inj no open intracran wnd+loc unspec duration",""
"39791000006115","S6313","S631300","450418003","2915288012","oth cerebral h'ge inj + open intracran wnd+1-24hr loss consc",""
"39831000006110","S6301","S630100","450418003","2915288012","oth cerebral h'ge inj no open intracranial wnd+no loss consc",""
"39841000006117","S61y","S61y.00","269144002","402921014","oth cerebral laceration/contusion + open intracranial wound",""
"39851000006115","S61x","S61x.00","269144002","402921014","oth cerebral laceration/contusion no open intracranial wound",""
"399436016","F427K","F427K00","14210003","24174013","lipofuscinosis",""
"400765016","P203","P203.00","268150002","400765016","meningocele - cerebral",""
"4025321000006111","^ESCTPR402532","","93748005","510549016","primary malignant neoplasm of cerebral ventricle",""
"402921014","S61","S61..00","269144002","402921014","cerebral laceration and contusion",""
"4031711000006119","^ESCTSE403171","","94248000","155935010","secondary malignant neoplasm of cerebrum",""
