medcode,readcode,description,ihd
33650,"7929100","percut transluminal coronary thrombolysis with streptokinase",1
9555,"G33z500","Post infarct angina",1
85947,"793G200","Perc translum balloon angioplasty insert 1-2 stents cor art",1
32272,"G38..00","postoperative myocardial infarction",1
3159,"792Dy00","Other specified other bypass of coronary artery",1
31571,"792y.00","Other specified operations on coronary artery",1
61208,"793Gz00","Perc translum balloon angioplasty stenting coronary art NOS",1
30421,"G30..13","Cardiac rupture following myocardial infarction (MI)",1
27951,"G31..00","Other acute and subacute ischaemic heart disease",1
29758,"G30X.00","acute transmural myocardial infarction of unspecif site",1
41221,"G30y200","Acute septal infarction",1
10209,"7921200","Autograft replacement of three coronary arteries NEC",1
32651,"7922.11","Allograft bypass of coronary artery",1
34328,"G311300","refractory angina",1
11048,"G331.11","variant angina pectoris",1
57062,"14AJ.00","H/O: Angina in last year",1
87849,"793G100","Perc tran ball angio ins 3 or more drug elut stents cor art",1
24540,"G34y000","Chronic coronary insufficiency",1
50372,"14AH.00","H/O: Myocardial infarction in last year",1
40429,"G301000","acute anteroapical infarction",1
9413,"G31y.00","Other acute and subacute ischaemic heart disease",1
30330,"G309.00","acute q-wave infarct",1
23579,"G310.00","Postmyocardial infarction syndrome",1
39693,"G31y200","Subendocardial ischaemia",1
28736,"G30y000","acute atrial infarction",1
27977,"G31yz00","Other acute and subacute ischaemic heart disease NOS",1
34633,"G34y.00","Other specified chronic ischaemic heart disease",1
32854,"G30B.00","acute posterolateral myocardial infarction",1
42462,"7928200","Percut translum balloon angioplasty bypass graft coronary a",1
45809,"G350.00","Subsequent myocardial infarction of anterior wall",1
37657,"G362.00","Ventric septal defect/curr comp fol acut myocardal infarctn",1
38609,"G351.00","subsequent myocardial infarction of inferior wall",1
44585,"792Bz00","Repair of coronary artery NOS",1
63467,"G306.00","true posterior myocardial infarction",1
7696,"G33z200","Syncope anginosa",1
35713,"G34yz00","Other specified chronic ischaemic heart disease NOS",1
29553,"G366.00","Thrombosis atrium,auric append&vent/curr comp foll acute MI",1
18913,"ZV45700","[V]Presence of aortocoronary bypass graft",1
23708,"G361.00","Atrial septal defect/curr comp folow acut myocardal infarct",1
36423,"G36..00","Certain current complication follow acute myocardial infarct",1
41835,"G384.00","postoperative subendocardial myocardial infarction",1
72562,"G353.00","subsequent myocardial infarction of other sites",1
59189,"G363.00","Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI",1
