gold_medcode,aurum_medcode,readcode,readterm,smoking_status
94958,-,745H400,Smoking cessation drug therapy,current smoker
91708,-,745Hy00,Other specified smoking cessation therapy,current smoker
90522,-,745Hz00,Smoking cessation therapy NOS,current smoker
110692,-,8B31G00,Varenicline smoking cessation therapy offered,current smoker
41042,-,8CAg.00,Smoking cessation advice provided by community pharmacist,current smoker
7622,-,8CAL.00,Smoking cessation advice,current smoker
103507,-,8CdB.00,Stop smoking service opportunity signposted,current smoker
18573,-,8H7i.00,Referral to smoking cessation advisor,current smoker
98154,-,8HkQ.00,Referral to NHS stop smoking service,current smoker
10742,-,8HTK.00,Referral to stop-smoking clinic,current smoker
100099,-,8IAj.00,Smoking cessation advice declined,current smoker
106391,-,8IEo.00,Referral to smoking cessation service declined,current smoker
106359,-,8T08.00,Referral to smoking cessation service,current smoker
103400,-,9kf1.11,Referred for COPD structured smoking assessment,current smoker
98447,-,9km..00,Ex-smoker annual review - enhanced services administration,exsmoker
100963,-,9km..11,Ex-smoker annual review,exsmoker
98347,-,9ko..00,Current smoker annual review - enhanced services admin,current smoker
104310,-,9ko..11,Current smoker annual review,current smoker
11356,-,9N2k.00,Seen by smoking cessation advisor,current smoker
102361,-,9NS0200,Referral for smoking cessation service offered,current smoker
7130,-,9OO..12,Stop smoking monitoring admin.,exsmoker
40418,-,9OO2.00,Refuses stop smoking monitor,current smoker
53101,-,9OO7.00,Stop smoking monitor verb.inv.,current smoker
32687,-,E251.00,Tobacco dependence,current smoker
95610,-,E251000,Tobacco dependence,current smoker
70746,-,E251100,Tobacco dependence,current smoker
108835,-,E251200,Tobacco dependence,current smoker
72706,-,E251300,Tobacco dependence in remission,exsmoker
68658,-,E251z00,Tobacco dependence NOS,current smoker
61905,-,Eu17.00,[X]Mental and behavioural disorder due to use of tobacco,current smoker
56144,-,Eu17100,[X]Mental and behav dis due to use of tobacco: harmful use,current smoker
107792,-,Eu17200,[X]Mental and behav dis due to use tobacco: dependence syndr,current smoker
101519,-,Eu17300,[X]Mental and behav dis due to use tobacco: withdrawal state,current smoker
16717,-,H310100,Smokers' cough,current smoker
9045,-,ZG23300,Advice on smoking,current smoker
42288,-,ZRb3.00,Pack years,current smoker
72700,-,ZV11600,[V]Personal history of tobacco abuse,exsmoker
12954,-,ZV4K000,[V]Tobacco use,current smoker
35055,-,ZV6D800,[V]Tobacco abuse counselling,current smoker
-,1123951000000110,9km..00,Ex-smoker annual review - enhanced services administration,ex smoker
-,1154471000000110,9km..11,Ex-smoker annual review,ex smoker
-,1714541000006110,9ko..00,Current smoker annual review - enhanced services admin,current smoker
-,1152111000000110,9ko..11,Current smoker annual review,current smoker
-,604961000006114,EGTON1025,Current Smoker NOS,current smoker
-,904121000006117,EMISQCO3,Carbon monoxide validation confirms smoker,current smoker
-,854021000006115,EGTON321,Cigarette smoker,current smoker
-,854071000006119,EGTON326,Current smoker,current smoker
-,854961000006110,EGTONGR11,Grade B light smoker (1-10/day),current smoker
-,854981000006117,EGTONGR12,Grade C moderate smoker (11-20/day),current smoker
-,855001000006114,EGTONGR13,Grade D heavy smoker (>20 Day),current smoker
-,852981000006111,EGTON1024,Rolls own cigarettes,current smoker
-,961581000006114,EMISCSM1,Smokes/uses tobacco products,current smoker
-,904041000006113,EMISQWA1,Waking time to first cigarette,current smoker
-,1809121000006110,EMISNQWA11,Waterpipe tobacco consumption,current smoker
-,649861000006114,EGTON322,Ex-Cigarette Smoker,ex smoker
-,649851000006112,EGTON1027,Ex- Rolled Tobacco Smoker,ex smoker
-,852991000006114,EGTON1026,Ex-cigar smoker,ex smoker
-,854051000006112,EGTON324,Ex-pipe smoker,ex smoker
-,853001000006110,EGTON1028,Ex-smoker NOS,ex smoker
-,854111000006110,EGTON327,Past smoker,ex smoker
